Índice,Data,Fechamento,Variação
DOL-PTAX,2025-03-11,5.8341,0.7199
DOL-PTAX,2025-03-12,5.8262,-0.1354
DOL-PTAX,2025-03-13,5.8125,-0.2351
DOL-PTAX,2025-03-14,5.7413,-1.2249
DOL-PTAX,2025-03-17,5.7076,-0.587
